,Entry ID,Jurisdiction,health_region,Date announced,Date implemented,Intervention category,Intervention type,Intervention summary,"Primary source
(news release or specific resource)",Secondary source,Level,"Indigenous 
population group",Source type,suggested_industry
11,AB180,Alta.,Calgary,2020-09-10 00:00:00,2020-09-10 00:00:00,Openings,Openings - recreation,"Who: Government of Alberta, Chief Medical Officer of Health
What: Permitted indoor hot tubs, dry saunas and steam saunas to open with cleaning and distancing restrictions
Effective until:",https://www.alberta.ca/release.cfm?xID=73203C5903015-971C-3208-AD6973D3D2071F51,Not applicable,Provincial/territorial,No,Government,Personal care
12,AB180,Alta.,Edmonton,2020-09-10 00:00:00,2020-09-10 00:00:00,Openings,Openings - recreation,"Who: Government of Alberta, Chief Medical Officer of Health
What: Permitted indoor hot tubs, dry saunas and steam saunas to open with cleaning and distancing restrictions
Effective until:",https://www.alberta.ca/release.cfm?xID=73203C5903015-971C-3208-AD6973D3D2071F51,Not applicable,Provincial/territorial,No,Government,Personal care
13,AB180,Alta.,Central Zone,2020-09-10 00:00:00,2020-09-10 00:00:00,Openings,Openings - recreation,"Who: Government of Alberta, Chief Medical Officer of Health
What: Permitted indoor hot tubs, dry saunas and steam saunas to open with cleaning and distancing restrictions
Effective until:",https://www.alberta.ca/release.cfm?xID=73203C5903015-971C-3208-AD6973D3D2071F51,Not applicable,Provincial/territorial,No,Government,Personal care
14,AB181,Alta.,Calgary,2020-09-11 00:00:00,2020-09-11 00:00:00,Openings,Openings - recreation,"Who: Government of Alberta, Chief Medical Officer of Health
What: Updated guidelines to permit limited band practices, singing and wind instrument concerts with rigorous and proper precautions
Effective until:",https://www.alberta.ca/release.cfm?xID=73213F82F645E-F190-0856-E75D6CCD43FB449A,https://open.alberta.ca/publications/covid-19-information-guidance-for-live-instrumental-music#summary,Provincial/territorial,No,Government,None
15,AB181,Alta.,Edmonton,2020-09-11 00:00:00,2020-09-11 00:00:00,Openings,Openings - recreation,"Who: Government of Alberta, Chief Medical Officer of Health
What: Updated guidelines to permit limited band practices, singing and wind instrument concerts with rigorous and proper precautions
Effective until:",https://www.alberta.ca/release.cfm?xID=73213F82F645E-F190-0856-E75D6CCD43FB449A,https://open.alberta.ca/publications/covid-19-information-guidance-for-live-instrumental-music#summary,Provincial/territorial,No,Government,None
16,AB181,Alta.,Central Zone,2020-09-11 00:00:00,2020-09-11 00:00:00,Openings,Openings - recreation,"Who: Government of Alberta, Chief Medical Officer of Health
What: Updated guidelines to permit limited band practices, singing and wind instrument concerts with rigorous and proper precautions
Effective until:",https://www.alberta.ca/release.cfm?xID=73213F82F645E-F190-0856-E75D6CCD43FB449A,https://open.alberta.ca/publications/covid-19-information-guidance-for-live-instrumental-music#summary,Provincial/territorial,No,CIHI,None
17,AB200,Alta.,Calgary,2020-11-12 00:00:00,2020-11-13 00:00:00,Restrictions,Restrictions — non-essential services,"Who: Government of Alberta
What: Mandated that all restaurants, bars, lounges and pubs in regions under enhanced status stop liquor sales by 10 p.m. and close by 11 p.m.
Effective until: 2020-11-27",https://www.alberta.ca/release.cfm?xID=7568972979AB6-C710-8665-95A628DF4EBB5F51,https://www.alberta.ca/release.cfm?xID=756927430390D-E7C5-440A-32D359C85E48294A,Provincial/territorial,No,CIHI,"Nightlife, Food & beverage stores, Restaurants & eating places"
18,AB200,Alta.,Central Zone,2020-11-12 00:00:00,2020-11-13 00:00:00,Restrictions,Restrictions — non-essential services,"Who: Government of Alberta
What: Mandated that all restaurants, bars, lounges and pubs in regions under enhanced status stop liquor sales by 10 p.m. and close by 11 p.m.
Effective until: 2020-11-27",https://www.alberta.ca/release.cfm?xID=7568972979AB6-C710-8665-95A628DF4EBB5F51,https://www.alberta.ca/release.cfm?xID=756927430390D-E7C5-440A-32D359C85E48294A,Provincial/territorial,No,CIHI,"Nightlife, Food & beverage stores, Restaurants & eating places"
19,AB200,Alta.,Edmonton,2020-11-12 00:00:00,2020-11-13 00:00:00,Restrictions,Restrictions — non-essential services,"Who: Government of Alberta
What: Mandated that all restaurants, bars, lounges and pubs in regions under enhanced status stop liquor sales by 10 p.m. and close by 11 p.m.
Effective until: 2020-11-27",https://www.alberta.ca/release.cfm?xID=7568972979AB6-C710-8665-95A628DF4EBB5F51,https://www.alberta.ca/release.cfm?xID=756927430390D-E7C5-440A-32D359C85E48294A,Provincial/territorial,No,CIHI,"Nightlife, Food & beverage stores, Restaurants & eating places"
20,AB169,Alta.,Calgary,,2020-11-27 00:00:00,Closures,Closures - recreation,"What: Tradeshows, markets, sporting events, night clubs, indoor play centres, facilities (concert halls, auditoriums, community halls) closed and performances not permitted. ",https://www.alberta.ca/enhanced-public-health-measures.aspx,Not applicable,Regional,No,CIHI,"Activities, Nightlife"
