,Unnamed: 0,Entry ID,Jurisdiction,Health Region,Implemented,Category,Type,Summary,Source,Level,Source type,Expired,Industry
0,11,AB180,Alta.,Calgary,2020-09-10 00:00:00,Openings,Openings - recreation,"Who: Government of Alberta, Chief Medical Officer of Health
What: Permitted indoor hot tubs, dry saunas and steam saunas to open with cleaning and distancing restrictions
Effective until:",https://www.alberta.ca/release.cfm?xID=73203C5903015-971C-3208-AD6973D3D2071F51,Provincial/territorial,Government,,Personal care
1,12,AB180,Alta.,Edmonton,2020-09-10 00:00:00,Openings,Openings - recreation,"Who: Government of Alberta, Chief Medical Officer of Health
What: Permitted indoor hot tubs, dry saunas and steam saunas to open with cleaning and distancing restrictions
Effective until:",https://www.alberta.ca/release.cfm?xID=73203C5903015-971C-3208-AD6973D3D2071F51,Provincial/territorial,Government,,Personal care
2,13,AB180,Alta.,Central Zone,2020-09-10 00:00:00,Openings,Openings - recreation,"Who: Government of Alberta, Chief Medical Officer of Health
What: Permitted indoor hot tubs, dry saunas and steam saunas to open with cleaning and distancing restrictions
Effective until:",https://www.alberta.ca/release.cfm?xID=73203C5903015-971C-3208-AD6973D3D2071F51,Provincial/territorial,Government,,Personal care
3,14,AB181,Alta.,Calgary,2020-09-11 00:00:00,Openings,Openings - recreation,"Who: Government of Alberta, Chief Medical Officer of Health
What: Updated guidelines to permit limited band practices, singing and wind instrument concerts with rigorous and proper precautions
Effective until:",https://www.alberta.ca/release.cfm?xID=73213F82F645E-F190-0856-E75D6CCD43FB449A,Provincial/territorial,Government,,None
4,15,AB181,Alta.,Edmonton,2020-09-11 00:00:00,Openings,Openings - recreation,"Who: Government of Alberta, Chief Medical Officer of Health
What: Updated guidelines to permit limited band practices, singing and wind instrument concerts with rigorous and proper precautions
Effective until:",https://www.alberta.ca/release.cfm?xID=73213F82F645E-F190-0856-E75D6CCD43FB449A,Provincial/territorial,Government,,None
5,16,AB181,Alta.,Central Zone,2020-09-11 00:00:00,Openings,Openings - recreation,"Who: Government of Alberta, Chief Medical Officer of Health
What: Updated guidelines to permit limited band practices, singing and wind instrument concerts with rigorous and proper precautions
Effective until:",https://www.alberta.ca/release.cfm?xID=73213F82F645E-F190-0856-E75D6CCD43FB449A,Provincial/territorial,CIHI,,None
6,17,AB200,Alta.,Calgary,2020-11-13 00:00:00,Restrictions,Restrictions - non-essential services,"Who: Government of Alberta
What: Mandated that all restaurants, bars, lounges and pubs in regions under enhanced status stop liquor sales by 10 p.m. and close by 11 p.m.
Effective until: 2020-11-27",https://www.alberta.ca/release.cfm?xID=7568972979AB6-C710-8665-95A628DF4EBB5F51,Provincial/territorial,CIHI,,"Restaurants & eating places, Food & beverage stores, Nightlife"
7,18,AB200,Alta.,Central Zone,2020-11-13 00:00:00,Restrictions,Restrictions - non-essential services,"Who: Government of Alberta
What: Mandated that all restaurants, bars, lounges and pubs in regions under enhanced status stop liquor sales by 10 p.m. and close by 11 p.m.
Effective until: 2020-11-27",https://www.alberta.ca/release.cfm?xID=7568972979AB6-C710-8665-95A628DF4EBB5F51,Provincial/territorial,CIHI,,"Restaurants & eating places, Food & beverage stores, Nightlife"
8,19,AB200,Alta.,Edmonton,2020-11-13 00:00:00,Restrictions,Restrictions - non-essential services,"Who: Government of Alberta
What: Mandated that all restaurants, bars, lounges and pubs in regions under enhanced status stop liquor sales by 10 p.m. and close by 11 p.m.
Effective until: 2020-11-27",https://www.alberta.ca/release.cfm?xID=7568972979AB6-C710-8665-95A628DF4EBB5F51,Provincial/territorial,CIHI,,"Restaurants & eating places, Food & beverage stores, Nightlife"
9,20,AB169,Alta.,Calgary,2020-11-27 00:00:00,Closures,Closures - recreation,"What: Tradeshows, markets, sporting events, night clubs, indoor play centres, facilities (concert halls, auditoriums, community halls) closed and performances not permitted. ",https://www.alberta.ca/enhanced-public-health-measures.aspx,Regional,CIHI,,"Activities, Nightlife"
10,21,AB169,Alta.,Edmonton,2020-11-27 00:00:00,Closures,Closures - recreation,"What: Tradeshows, markets, sporting events, night clubs, indoor play centres, facilities (concert halls, auditoriums, community halls) closed and performances not permitted. ",https://www.alberta.ca/enhanced-public-health-measures.aspx,Regional,CIHI,,"Activities, Nightlife"
11,24,AB201,Alta.,Central Zone,2020-11-13 00:00:00,Closures,Closures - recreation,"Who: Government of Alberta
What: Prohibited indoor group fitness classes, team sport activities and group performance activities in Edmonton and surrounding areas, Calgary and surrounding areas, Grande Prairie, Fort McMurray, Red Deer and Lethbridge
Effective until: 2020-11-27",https://www.alberta.ca/release.cfm?xID=756927430390D-E7C5-440A-32D359C85E48294A,Regional,CIHI,,None
12,25,AB201,Alta.,Edmonton,2020-11-13 00:00:00,Closures,Closures - recreation,"Who: Government of Alberta
What: Prohibited indoor group fitness classes, team sport activities and group performance activities in Edmonton and surrounding areas, Calgary and surrounding areas, Grande Prairie, Fort McMurray, Red Deer and Lethbridge
Effective until: 2020-11-27",https://www.alberta.ca/release.cfm?xID=756927430390D-E7C5-440A-32D359C85E48294A,Regional,CIHI,,None
13,26,AB201,Alta.,Calgary,2020-11-13 00:00:00,Closures,Closures - recreation,"Who: Government of Alberta
What: Prohibited indoor group fitness classes, team sport activities and group performance activities in Edmonton and surrounding areas, Calgary and surrounding areas, Grande Prairie, Fort McMurray, Red Deer and Lethbridge
Effective until: 2020-11-27",https://www.alberta.ca/release.cfm?xID=756927430390D-E7C5-440A-32D359C85E48294A,Regional,CIHI,,None
14,27,AB231,Alta.,Central Zone,2020-12-13 00:00:00,Restrictions,Restrictions - non-essential services,"Who: Government of Alberta
What:The province moved to lockdown-enhanced. Prohibited indoor and outdoor service at restaurants, bars, lounges, cafes and other food and drink establishments. Restricted retail services to 15% capacity or 5 customers. Closed all personal and wellness services. 
Effective until:2021-01-21",https://www.alberta.ca/release.cfm?xID=75859ADEA5D5E-045D-2386-0CB140C175A800DD,Provincial/territorial,CIHI,,"Personal care, Restaurants & eating places, Clothing stores, Nightlife"
15,28,AB232,Alta.,Central Zone,2020-12-13 00:00:00,Closures,Closures - recreation,"Who:Government of Alberta
What:The province moved to lockdown-enhanced. Prohibited indoor and outdoor sports and closed recreational centers including gyms and fitness studios. Outdoor group physical activity limited to 10 people or less, highly recommended being within single households. Limited performance activities such as dancing, theatre and musical instruments to a maximum of 2 people indoors and 10 people outdoors. Closed all indoor and outdoor entertainment facilities such as casinos, libraries, raceways and movie theaters.
Effective until: 2021-01-21",https://www.alberta.ca/release.cfm?xID=75859ADEA5D5E-045D-2386-0CB140C175A800DD,Provincial/territorial,CIHI,,"Fitness, Nightlife"
16,37,BC178,B.C.,Vancouver Coastal,2020-11-07 00:00:00,Closures,Closures - recreation,"What: Indoor group exercises, sports and competitions, recreation centres, restrictions to social gatherings and non-essential travel. Effective until: Dec 7, 2020.",https://www2.gov.bc.ca/assets/gov/health/about-bc-s-health-care-system/office-of-the-provincial-health-officer/covid-19/covid-19-pho-order-vch-fh.pdf,Regional,Government,,Fitness
17,38,BC179,B.C.,Interior,2020-11-19 00:00:00,Closures,Closures - recreation,"What: Galas, musical theatre performances, seasonal activities including indoor and outdoor holiday events, silent auctions, movie viewings in cinemas. Businesses, recreation centres or other organizations that organize or operate high risk indoor group physical activities must suspend the following activities: spin, yoga, HIIT. Venues that organize or operate other types of indoor group physical activities must suspend them temporarily while new guidance is being developed. These include: dance studios, gymnastics, cheerleading, martial arts, pilates, strength and conditioning. Effective until: Dec 7, 2020.",https://www2.gov.bc.ca/gov/content/safety/emergency-preparedness-response-recovery/covid-19-provincial-support/restrictions,Provincial/territorial,Government,,"Fitness, Activities"
18,39,BC179,B.C.,Island,2020-11-19 00:00:00,Closures,Closures - recreation,"What: Galas, musical theatre performances, seasonal activities including indoor and outdoor holiday events, silent auctions, movie viewings in cinemas. Businesses, recreation centres or other organizations that organize or operate high risk indoor group physical activities must suspend the following activities: spin, yoga, HIIT. Venues that organize or operate other types of indoor group physical activities must suspend them temporarily while new guidance is being developed. These include: dance studios, gymnastics, cheerleading, martial arts, pilates, strength and conditioning. Effective until: Dec 7, 2020.",https://www2.gov.bc.ca/gov/content/safety/emergency-preparedness-response-recovery/covid-19-provincial-support/restrictions,Provincial/territorial,Government,,"Fitness, Activities"
19,40,BC179,B.C.,Fraser,2020-11-19 00:00:00,Closures,Closures - recreation,"What: Galas, musical theatre performances, seasonal activities including indoor and outdoor holiday events, silent auctions, movie viewings in cinemas. Businesses, recreation centres or other organizations that organize or operate high risk indoor group physical activities must suspend the following activities: spin, yoga, HIIT. Venues that organize or operate other types of indoor group physical activities must suspend them temporarily while new guidance is being developed. These include: dance studios, gymnastics, cheerleading, martial arts, pilates, strength and conditioning. Effective until: Dec 7, 2020.",https://www2.gov.bc.ca/gov/content/safety/emergency-preparedness-response-recovery/covid-19-provincial-support/restrictions,Provincial/territorial,Government,,"Fitness, Activities"
20,41,BC179,B.C.,Vancouver Coastal,2020-11-19 00:00:00,Closures,Closures - recreation,"What: Galas, musical theatre performances, seasonal activities including indoor and outdoor holiday events, silent auctions, movie viewings in cinemas. Businesses, recreation centres or other organizations that organize or operate high risk indoor group physical activities must suspend the following activities: spin, yoga, HIIT. Venues that organize or operate other types of indoor group physical activities must suspend them temporarily while new guidance is being developed. These include: dance studios, gymnastics, cheerleading, martial arts, pilates, strength and conditioning. Effective until: Dec 7, 2020.",https://www2.gov.bc.ca/gov/content/safety/emergency-preparedness-response-recovery/covid-19-provincial-support/restrictions,Provincial/territorial,Government,,"Fitness, Activities"
21,50,BC200,B.C.,Interior,2020-09-08 00:00:00,Closures,Closures - non-essential services,"Who: Ministry of Health
What: Announced that all nightclubs and stand-alone banquet halls are closed until further notice
Effective until: ",https://news.gov.bc.ca/releases/2020HLTH0049-001688,Provincial/territorial,CIHI,,Nightlife
22,51,BC200,B.C.,Island,2020-09-08 00:00:00,Closures,Closures - non-essential services,"Who: Ministry of Health
What: Announced that all nightclubs and stand-alone banquet halls are closed until further notice
Effective until: ",https://news.gov.bc.ca/releases/2020HLTH0049-001688,Provincial/territorial,CIHI,,Nightlife
23,52,BC200,B.C.,Fraser,2020-09-08 00:00:00,Closures,Closures - non-essential services,"Who: Ministry of Health
What: Announced that all nightclubs and stand-alone banquet halls are closed until further notice
Effective until: ",https://news.gov.bc.ca/releases/2020HLTH0049-001688,Provincial/territorial,CIHI,,Nightlife
24,53,BC200,B.C.,Vancouver Coastal,2020-09-08 00:00:00,Closures,Closures - non-essential services,"Who: Ministry of Health
What: Announced that all nightclubs and stand-alone banquet halls are closed until further notice
Effective until: ",https://news.gov.bc.ca/releases/2020HLTH0049-001688,Provincial/territorial,CIHI,,Nightlife
25,54,BC201,B.C.,Interior,2020-09-08 00:00:00,Openings,Openings - non-essential services,"Who: Ministry of Health
What: Announced that all liquor sales in all bars, pubs and restaurants must stop by 10 p.m. 
Effective until: ",https://news.gov.bc.ca/releases/2020HLTH0049-001688,Provincial/territorial,CIHI,,"Restaurants & eating places, Food & beverage stores, Nightlife"
26,55,BC201,B.C.,Island,2020-09-08 00:00:00,Openings,Openings - non-essential services,"Who: Ministry of Health
What: Announced that all liquor sales in all bars, pubs and restaurants must stop by 10 p.m. 
Effective until: ",https://news.gov.bc.ca/releases/2020HLTH0049-001688,Provincial/territorial,CIHI,,"Restaurants & eating places, Food & beverage stores, Nightlife"
27,56,BC201,B.C.,Fraser,2020-09-08 00:00:00,Openings,Openings - non-essential services,"Who: Ministry of Health
What: Announced that all liquor sales in all bars, pubs and restaurants must stop by 10 p.m. 
Effective until: ",https://news.gov.bc.ca/releases/2020HLTH0049-001688,Provincial/territorial,CIHI,,"Restaurants & eating places, Food & beverage stores, Nightlife"
28,57,BC201,B.C.,Vancouver Coastal,2020-09-08 00:00:00,Openings,Openings - non-essential services,"Who: Ministry of Health
What: Announced that all liquor sales in all bars, pubs and restaurants must stop by 10 p.m. 
Effective until: ",https://news.gov.bc.ca/releases/2020HLTH0049-001688,Provincial/territorial,CIHI,,"Restaurants & eating places, Food & beverage stores, Nightlife"
29,62,BC207,B.C.,Interior,2020-09-20 00:00:00,Restrictions,Restrictions - non-essential services,"Who: Government of British Columbia
What: Announced that operators and organizers contravening the provincial health officer’s order to close banquet halls and nightclubs and to limit liquor sales to specific times and situations can be fined $2,000 and that patrons can be fined $200
Effective until: ",https://news.gov.bc.ca/releases/2020PSSG0053-001836,Provincial/territorial,CIHI,,"Food & beverage stores, Nightlife"
30,63,BC207,B.C.,Island,2020-09-20 00:00:00,Restrictions,Restrictions - non-essential services,"Who: Government of British Columbia
What: Announced that operators and organizers contravening the provincial health officer’s order to close banquet halls and nightclubs and to limit liquor sales to specific times and situations can be fined $2,000 and that patrons can be fined $200
Effective until: ",https://news.gov.bc.ca/releases/2020PSSG0053-001836,Provincial/territorial,CIHI,,"Food & beverage stores, Nightlife"
31,64,BC207,B.C.,Fraser,2020-09-20 00:00:00,Restrictions,Restrictions - non-essential services,"Who: Government of British Columbia
What: Announced that operators and organizers contravening the provincial health officer’s order to close banquet halls and nightclubs and to limit liquor sales to specific times and situations can be fined $2,000 and that patrons can be fined $200
Effective until: ",https://news.gov.bc.ca/releases/2020PSSG0053-001836,Provincial/territorial,CIHI,,"Food & beverage stores, Nightlife"
32,65,BC207,B.C.,Vancouver Coastal,2020-09-20 00:00:00,Restrictions,Restrictions - non-essential services,"Who: Government of British Columbia
What: Announced that operators and organizers contravening the provincial health officer’s order to close banquet halls and nightclubs and to limit liquor sales to specific times and situations can be fined $2,000 and that patrons can be fined $200
Effective until: ",https://news.gov.bc.ca/releases/2020PSSG0053-001836,Provincial/territorial,CIHI,,"Food & beverage stores, Nightlife"
33,66,BC208,B.C.,Interior,2020-11-19 00:00:00,Restrictions,Restrictions - non-essential services,"What: retail businesses are required to establish capacity limits based on 5 square metres of unencumbered space per person
Post occupancy limits.The service and sale of alcohol is prohibited after 8 pm. This order applies to any establishment that sells or serves alcohol including, bars, restaurants, pubs, liquor stores or grocery stores.",https://www2.gov.bc.ca/gov/content/safety/emergency-preparedness-response-recovery/covid-19-provincial-support/restrictions,Provincial/territorial,CIHI,,"General merchandise stores, Restaurants & eating places, Nightlife, Clothing stores, Food & beverage stores"
34,67,BC208,B.C.,Interior,2020-11-19 00:00:00,Closures,Closures - non-essential services,"What: In-person events and community-based gathering. Businesses, recreation centres or other organizations that organize or operate high intensity group exercise must suspend the following activities: Hot yoga, Spin classes, Aerobics, Bootcamp, High intensity aspects of circuit training, High intensity interval training (HIIT).Indoor and outdoor team sports for people 22 years of age and older are suspended. Under the order, no spectators are allowed at any sport activities. ",https://www2.gov.bc.ca/gov/content/safety/emergency-preparedness-response-recovery/covid-19-provincial-support/restrictions,Provincial/territorial,CIHI,,"Fitness, Activities"
35,68,BC208,B.C.,Island,2020-11-19 00:00:00,Restrictions,Restrictions - non-essential services,"What: retail businesses are required to establish capacity limits based on 5 square metres of unencumbered space per person
Post occupancy limits.The service and sale of alcohol is prohibited after 8 pm. This order applies to any establishment that sells or serves alcohol including, bars, restaurants, pubs, liquor stores or grocery stores.",https://www2.gov.bc.ca/gov/content/safety/emergency-preparedness-response-recovery/covid-19-provincial-support/restrictions,Provincial/territorial,CIHI,,"General merchandise stores, Restaurants & eating places, Nightlife, Clothing stores, Food & beverage stores"
36,69,BC208,B.C.,Island,2020-11-19 00:00:00,Closures,Closures - non-essential services,"What: In-person events and community-based gathering. Businesses, recreation centres or other organizations that organize or operate high intensity group exercise must suspend the following activities: Hot yoga, Spin classes, Aerobics, Bootcamp, High intensity aspects of circuit training, High intensity interval training (HIIT).Indoor and outdoor team sports for people 22 years of age and older are suspended. Under the order, no spectators are allowed at any sport activities. ",https://www2.gov.bc.ca/gov/content/safety/emergency-preparedness-response-recovery/covid-19-provincial-support/restrictions,Provincial/territorial,CIHI,,"Fitness, Activities"
37,70,BC208,B.C.,Fraser,2020-11-19 00:00:00,Restrictions,Restrictions - non-essential services,"What: retail businesses are required to establish capacity limits based on 5 square metres of unencumbered space per person
Post occupancy limits.The service and sale of alcohol is prohibited after 8 pm. This order applies to any establishment that sells or serves alcohol including, bars, restaurants, pubs, liquor stores or grocery stores.",https://www2.gov.bc.ca/gov/content/safety/emergency-preparedness-response-recovery/covid-19-provincial-support/restrictions,Provincial/territorial,CIHI,,"General merchandise stores, Restaurants & eating places, Nightlife, Clothing stores, Food & beverage stores"
38,71,BC208,B.C.,Fraser,2020-11-19 00:00:00,Closures,Closures - non-essential services,"What: In-person events and community-based gathering. Businesses, recreation centres or other organizations that organize or operate high intensity group exercise must suspend the following activities: Hot yoga, Spin classes, Aerobics, Bootcamp, High intensity aspects of circuit training, High intensity interval training (HIIT).Indoor and outdoor team sports for people 22 years of age and older are suspended. Under the order, no spectators are allowed at any sport activities. ",https://www2.gov.bc.ca/gov/content/safety/emergency-preparedness-response-recovery/covid-19-provincial-support/restrictions,Provincial/territorial,CIHI,,"Fitness, Activities"
39,72,BC208,B.C.,Vancouver Coastal,2020-11-19 00:00:00,Restrictions,Restrictions - non-essential services,"What: retail businesses are required to establish capacity limits based on 5 square metres of unencumbered space per person
Post occupancy limits.The service and sale of alcohol is prohibited after 8 pm. This order applies to any establishment that sells or serves alcohol including, bars, restaurants, pubs, liquor stores or grocery stores.",https://www2.gov.bc.ca/gov/content/safety/emergency-preparedness-response-recovery/covid-19-provincial-support/restrictions,Provincial/territorial,CIHI,,"General merchandise stores, Restaurants & eating places, Nightlife, Clothing stores, Food & beverage stores"
40,73,BC208,B.C.,Vancouver Coastal,2020-11-19 00:00:00,Closures,Closures - non-essential services,"What: In-person events and community-based gathering. Businesses, recreation centres or other organizations that organize or operate high intensity group exercise must suspend the following activities: Hot yoga, Spin classes, Aerobics, Bootcamp, High intensity aspects of circuit training, High intensity interval training (HIIT).Indoor and outdoor team sports for people 22 years of age and older are suspended. Under the order, no spectators are allowed at any sport activities. ",https://www2.gov.bc.ca/gov/content/safety/emergency-preparedness-response-recovery/covid-19-provincial-support/restrictions,Provincial/territorial,CIHI,,"Fitness, Activities"
41,74,MB153,Man.,Winnipeg,2020-07-25 00:00:00,Openings,Openings - non-essential services and recreation,"Who: Government of Manitoba
What: Maintained current site capacity at 30% for faith-based services, including powwows and other cultural and spiritual events, but eliminated the need for subgroups (cohorts); for faith-based services, site capacity will be a maximum of 30% or 500 people, whichever is lower. Permitted stage performances and opening movie theatres to a maximum capacity of 30% of the site, up to a maximum of 500 people. Permitted retail businesses and indoor recreation sites to use non-permeable barriers when distances of 2 metres cannot be maintained. Permitted casinos to open at a maximum of 30% of the site’s capacity.
Effective until: ",https://news.gov.mb.ca/news/index.html?item=48699&posted=2020-07-23,Provincial/territorial,CIHI,,"Clothing stores, Activities, Nightlife"
